PrimaryDI,publicDeviceRecordKey,publicVersionStatus,deviceRecordStatus,publicVersionNumber,publicVersionDate,devicePublishDate,deviceCommDistributionEndDate,deviceCommDistributionStatus,brandName,versionModelNumber,catalogNumber,dunsNumber,companyName,deviceCount,deviceDescription,DMExempt,premarketExempt,deviceHCTP,deviceKit,deviceCombinationProduct,singleUse,lotBatch,serialNumber,manufacturingDate,expirationDate,donationIdNumber,labeledContainsNRL,labeledNoNRL,MRISafetyStatus,rx,otc,deviceSterile,sterilizationPriorToUse
842307103646,964d8661-39bd-4ef9-a656-de1fe3a6cd35,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6732-20-61-78-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,32X20DP,REM ARM,Q/R 700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103639,a9eb953d-5b2b-4b84-8e47-4ea95b7a455b,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6734-22-61-78-29-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,34x22DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000               ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103622,ccbde759-af4c-4f13-ae51-c83c3e6fdde1,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6732-20-61-29-85-R-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,32X20DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000     ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103615,840126d3-9f61-4657-a597-641eda001a5b,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,650-123-116-119/2-163,,54164587,"GENDRON, INC.",1,"STRETCHER,CHR FRM,ENAM LTR",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103608,397cf801-8134-436f-9075-7d08021721e2,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6726-20-63-78-36-86-6,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,26x20DP,REM ARM,Q/R 700 LB CAPACITY,REGENCY XL2000 ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103585,73aba89b-36ce-4b0a-b95c-d2a0db1c9133,Update,Published,3,2021-11-16,2017-04-28,2020-06-15,Not in Commercial Distribution,,MC4054SDX-W,,54164587,"GENDRON, INC.",1,"BED,BARIATRIC S/FRAME,39""X 80""5 FUNCTION WIDTH & LENGTH ADJ 1000 LB CAPACITY ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103578,115f4bee-dc51-4a93-97e5-e1c87052aba0,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6724-22-63-28-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24X22DP,REM ARM,Q/R700 LB CAPACITY,REGENCY XL2000",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103561,c08f3408-e0ab-4092-ab70-3a01d20a49b2,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6324-18-62-78-33-8-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24""X18"",DELUXE     350 LB CAPACITY ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103554,1d8deb04-5dcc-43ac-8069-237d88b3d6ef,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,5628-18-62-00-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,28""X18"",BASIC      600 LB. CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103547,7485fa29-aa3c-4fa2-9767-ae782481225a,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6424-18-62-78-36-04-07-6-P1188,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,24""X18"",DELUXE     450 LB CAPACITY",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
842307103530,22e73351-1ae2-455c-b84d-dbabba115f88,Update,Published,3,2021-11-16,2017-05-05,2020-06-15,Not in Commercial Distribution,,6826-22-62-27-8,,54164587,"GENDRON, INC.",1,"WHEELCHAIR,26X22DP,REM ARM,Q/R850 LB CAPACITY,REGENCY XL2000     ",,True,,,,,,True,,,,,,Labeling does not contain MRI Safety Information,,,,
