PrimaryDI,gmdnPTName,gmdnPTDefinition
842307103646,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103639,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103622,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103615,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103608,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103585,Bariatric bed,"A mains electricity (AC-powered) bed specifically designed as a bed to accommodate a bariatric (obese) patient whose body mass exceeds the safe working load of standard hospital/institution beds and trolleys, i.e., 500 kg total, including the weight of the mattress and other accessories. Features like size, shape, and patient comfort (both physical and mental) will be taken into consideration by the design. This device is electrically-operated to assist the user/attending staff to adjust the functions and positions of the bed. It will typically include adjustable height, back rest, knee-break, removable head and foot ends and possibly an integrated weighing facility."
842307103578,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103561,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103554,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103547,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103530,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103523,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103516,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103509,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
842307103493,"Hospital stretcher, manual","A manually-operated device consisting of a platform mounted on a wheeled frame designed primarily to facilitate easy transport of a recumbent patient within a healthcare facility; it may include side rails, supports for fluid infusion equipment, and patient securement straps. The device may also be used as a treatment table (e.g., in an emergency, recovery, or labour room), or as a bed in some intensive and specialized care units or under high patient census conditions (e.g., disasters)."
842307103486,"Bariatric wheelchair, attendant/occupant-driven, rear-wheels-operated, collapsible","A wheeled personal mobility device that incorporates a heavy-duty framework and extra wide seat-support system for a bariatric (obese) person with a disability or an obese person without the full capacity to walk, and is manually propelled by the user while seated in the device or by an attendant. The occupant moves the device by rotating both rear wheels. An attendant moves the device by pushing or pulling handles on the device. The device may be disassembled or folded for transport."
