PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
00842289103016|Needle Gauge|Gauge|14|
00842289103016|Length|Inch|1|
00842289103009|Needle Gauge|Gauge|14|
00842289103009|Length|Inch|1|
00842289102453|Needle Gauge|Gauge|16|
00842289102453|Length|Inch|1.25|
00842289102446|Needle Gauge|Gauge|15|
00842289102446|Length|Inch|1.25|
00842289102439|Needle Gauge|Gauge|17|
00842289102439|Length|Inch|1|
00842289102422|Needle Gauge|Gauge|17|
00842289102422|Length|Inch|1|
00842289102415|Needle Gauge|Gauge|16|
00842289102415|Length|Inch|1|
00842289102408|Needle Gauge|Gauge|16|
00842289102408|Length|Inch|1|
00842289102392|Needle Gauge|Gauge|15|
00842289102392|Length|Inch|1|
00842289102385|Needle Gauge|Gauge|15|
00842289102385|Length|Inch|1|
00842289102378|Needle Gauge|Gauge|14|
00842289102378|Length|Inch|1|
00842289102361|Needle Gauge|Gauge|15|
00842289102361|Length|Inch|1|
00842289102354|Needle Gauge|Gauge|17|
00842289102354|Length|Inch|.6|
00842289102347|Needle Gauge|Gauge|16|
00842289102347|Length|Inch|.6|
00842289102330|Needle Gauge|Gauge|15|
00842289102330|Length|Inch|.6|
00842289102323|Needle Gauge|Gauge|17|
00842289102323|Length|Inch|1|
00842289102316|Needle Gauge|Gauge|16|
00842289102316|Length|Inch|1|
00842289102309|Needle Gauge|Gauge|15|
00842289102309|Length|Inch|1|
00842289102293|Needle Gauge|Gauge|14|
00842289102293|Length|Inch|1|
00842289102286|Needle Gauge|Gauge|15|
00842289102286|Length|Inch|1|
00842289102279|Needle Gauge|Gauge|15|
00842289102279|Length|Inch|1|
00842289102262|Needle Gauge|Gauge|16|
00842289102262|Length|Inch|1.25|
00842289102255|Needle Gauge|Gauge|16|
00842289102255|Length|Inch|1.25|
00842289102248|Needle Gauge|Gauge|15|
00842289102248|Length|Inch|1.25|
00842289102231|Needle Gauge|Gauge|15|
00842289102231|Length|Inch|1.25|
00842289102224|Needle Gauge|Gauge|17|
00842289102224|Length|Inch|1|
00842289102217|Needle Gauge|Gauge|17|
00842289102217|Length|Inch|1|
00842289102200|Needle Gauge|Gauge|17|
00842289102200|Length|Inch|1|
00842289102194|Needle Gauge|Gauge|17|
00842289102194|Length|Inch|1|
00842289102187|Needle Gauge|Gauge|16|
00842289102187|Length|Inch|1|
00842289102170|Needle Gauge|Gauge|16|
00842289102170|Length|Inch|1|
00842289102163|Needle Gauge|Gauge|16|
00842289102163|Length|Inch|1|
00842289102156|Needle Gauge|Gauge|16|
00842289102156|Length|Inch|1|
00842289102149|Needle Gauge|Gauge|15|
00842289102149|Length|Inch|1|
00842289102132|Needle Gauge|Gauge|15|
00842289102132|Length|Inch|1|
00842289102125|Needle Gauge|Gauge|15|
00842289102125|Length|Inch|1|
00842289102118|Needle Gauge|Gauge|15|
00842289102118|Length|Inch|1|
00842289102101|Needle Gauge|Gauge|14|
00842289102101|Length|Inch|1|
00842289102095|Needle Gauge|Gauge|14|
00842289102095|Length|Inch|1|
00842289102088|Needle Gauge|Gauge|17|
00842289102088|Length|Inch|.6|
00842289102071|Needle Gauge|Gauge|17|
00842289102071|Length|Inch|.6|
00842289102064|Needle Gauge|Gauge|16|
00842289102064|Length|Inch|.6|
00842289102057|Needle Gauge|Gauge|16|
00842289102057|Length|Inch|.6|
00842289102040|Needle Gauge|Gauge|15|
00842289102040|Length|Inch|.6|
00842289102033|Needle Gauge|Gauge|15|
00842289102033|Length|Inch|.6|
00842289102026|Needle Gauge|Gauge|17|
00842289102026|Length|Inch|1|
00842289102019|Needle Gauge|Gauge|17|
00842289102019|Length|Inch|1|
00842289102002|Needle Gauge|Gauge|16|
00842289102002|Length|Inch|1|
00842289101999|Needle Gauge|Gauge|16|
00842289101999|Length|Inch|1|
00842289101982|Needle Gauge|Gauge|15|
00842289101982|Length|Inch|1|
00842289101975|Needle Gauge|Gauge|15|
00842289101975|Length|Inch|1|
00842289101814|Length|Inch|1|
00842289101814|Needle Gauge|Gauge|16|
00842289101807|Length|Inch|1|
00842289101807|Needle Gauge|Gauge|16|
00842289101791|Length|Inch|1|
00842289101791|Needle Gauge|Gauge|16|
00842289101784|Length|Inch|1|
00842289101784|Needle Gauge|Gauge|15|
00842289101777|Length|Inch|1|
00842289101777|Needle Gauge|Gauge|15|
00842289101760|Length|Inch|1|
00842289101760|Needle Gauge|Gauge|15|
00842289101715|Length|Inch|0.6|
00842289101715|Needle Gauge|Gauge|17|
00842289101500|Length|Inch|1|
00842289101500|Needle Gauge|Gauge|15|
00842289101494|Length|Inch|1|
00842289101494|Needle Gauge|Gauge|15|
00842289101487|Length|Inch|1|
00842289101487|Needle Gauge|Gauge|15|
00842289101470|Length|Inch|1.25|
00842289101470|Needle Gauge|Gauge|16|
00842289101463|Length|Inch|1.25|
00842289101463|Needle Gauge|Gauge|16|
00842289101456|Length|Inch|1.25|
00842289101456|Needle Gauge|Gauge|16|
00842289101449|Length|Inch|1.25|
00842289101449|Needle Gauge|Gauge|15|
00842289101432|Length|Inch|1.25|
00842289101432|Needle Gauge|Gauge|15|
00842289101425|Length|Inch|1.25|
00842289101425|Needle Gauge|Gauge|15|
00842289101418|Length|Inch|1|
00842289101418|Needle Gauge|Gauge|17|
00842289101401|Length|Inch|1|
00842289101401|Needle Gauge|Gauge|17|
00842289101395|Length|Inch|1|
00842289101395|Needle Gauge|Gauge|17|
00842289101388|Length|Inch|1|
00842289101388|Needle Gauge|Gauge|17|
00842289101371|Length|Inch|1|
00842289101371|Needle Gauge|Gauge|17|
00842289101364|Length|Inch|1|
00842289101364|Needle Gauge|Gauge|17|
00842289101357|Length|Inch|1|
00842289101357|Needle Gauge|Gauge|16|
00842289101340|Length|Inch|1|
00842289101340|Needle Gauge|Gauge|16|
00842289101333|Length|Inch|1|
00842289101333|Needle Gauge|Gauge|16|
00842289101326|Length|Inch|1|
00842289101326|Needle Gauge|Gauge|15|
00842289101319|Length|Inch|1|
00842289101319|Needle Gauge|Gauge|15|
00842289101302|Length|Inch|1|
00842289101302|Needle Gauge|Gauge|15|
00842289101296|Length|Inch|1|
00842289101296|Needle Gauge|Gauge|14|
00842289101289|Length|Inch|1|
00842289101289|Needle Gauge|Gauge|14|
00842289101272|Length|Inch|1|
00842289101272|Needle Gauge|Gauge|14|
00842289101241|Length|Inch|1|
00842289101241|Needle Gauge|Gauge|16|
00842289101234|Length|Inch|1|
00842289101234|Needle Gauge|Gauge|16|
00842289101227|Length|Inch|1|
00842289101227|Needle Gauge|Gauge|16|
00842289101210|Length|Inch|1|
00842289101210|Needle Gauge|Gauge|15|
00842289101203|Length|Inch|1|
00842289101203|Needle Gauge|Gauge|15|
00842289101197|Length|Inch|1|
