PrimaryDI|storageHandlingType|storageHandlingHigh (Unit)|storageHandlingHigh (Value)|storageHandlingLow (Unit)|storageHandlingLow (Value)|storageHandlingSpecialConditionText
00842289103016|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289103016|Special Storage Condition, Specify|||||Keep dry
00842289103009|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289103009|Special Storage Condition, Specify|||||Keep dry
00842289102453|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102453|Special Storage Condition, Specify|||||Keep dry
00842289102446|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102446|Special Storage Condition, Specify|||||Keep dry
00842289102439|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102439|Special Storage Condition, Specify|||||Keep dry
00842289102422|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102422|Special Storage Condition, Specify|||||Keep dry
00842289102415|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102415|Special Storage Condition, Specify|||||Keep dry
00842289102408|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102408|Special Storage Condition, Specify|||||Keep dry
00842289102392|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102392|Special Storage Condition, Specify|||||Keep dry
00842289102385|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102385|Special Storage Condition, Specify|||||Keey dry
00842289102378|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102378|Special Storage Condition, Specify|||||Keep dry
00842289102361|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102361|Special Storage Condition, Specify|||||Keep dry
00842289102354|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102354|Special Storage Condition, Specify|||||Keep dry
00842289102347|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102347|Special Storage Condition, Specify|||||Keep dry
00842289102330|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102330|Special Storage Condition, Specify|||||Keep dry
00842289102323|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102323|Special Storage Condition, Specify|||||Keep dry
00842289102316|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102316|Special Storage Condition, Specify|||||Keep dry
00842289102309|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102309|Special Storage Condition, Specify|||||Keep dry
00842289102293|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102293|Special Storage Condition, Specify|||||Keep dry
00842289102286|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102286|Special Storage Condition, Specify|||||Keep dry
00842289102279|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102279|Special Storage Condition, Specify|||||Keep dry
00842289102262|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102262|Special Storage Condition, Specify|||||Keep dry
00842289102255|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102255|Special Storage Condition, Specify|||||Keep dry
00842289102248|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102248|Special Storage Condition, Specify|||||Keep dry
00842289102231|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102231|Special Storage Condition, Specify|||||Keep dry
00842289102224|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102224|Special Storage Condition, Specify|||||Keep dry
00842289102217|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102217|Special Storage Condition, Specify|||||Keep dry
00842289102200|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102200|Special Storage Condition, Specify|||||Keep dry
00842289102194|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102194|Special Storage Condition, Specify|||||Keep dry
00842289102187|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102187|Special Storage Condition, Specify|||||Keep dry
00842289102170|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102170|Special Storage Condition, Specify|||||Keep dry
00842289102163|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102163|Special Storage Condition, Specify|||||Keep dry
00842289102156|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102156|Special Storage Condition, Specify|||||Keep dry
00842289102149|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
