PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus|pkgType
00842307103646|00842307103646|Primary|GS1|||||
00842307103639|00842307103639|Primary|GS1|||||
00842307103622|00842307103622|Primary|GS1|||||
00842307103615|00842307103615|Primary|GS1|||||
00842307103608|00842307103608|Primary|GS1|||||
00842307103585|00842307103585|Primary|GS1|||||
00842307103578|00842307103578|Primary|GS1|||||
00842307103561|00842307103561|Primary|GS1|||||
00842307103554|00842307103554|Primary|GS1|||||
00842307103547|00842307103547|Primary|GS1|||||
00842307103530|00842307103530|Primary|GS1|||||
00842307103523|00842307103523|Primary|GS1|||||
00842307103516|00842307103516|Primary|GS1|||||
00842307103509|00842307103509|Primary|GS1|||||
00842307103493|00842307103493|Primary|GS1|||||
00842307103486|00842307103486|Primary|GS1|||||
00842307103479|00842307103479|Primary|GS1|||||
00842307103462|00842307103462|Primary|GS1|||||
00842307103455|00842307103455|Primary|GS1|||||
00842307103448|00842307103448|Primary|GS1|||||
00842307103431|00842307103431|Primary|GS1|||||
00842307103424|00842307103424|Primary|GS1|||||
00842307103417|00842307103417|Primary|GS1|||||
00842307103400|00842307103400|Primary|GS1|||||
00842307103394|00842307103394|Primary|GS1|||||
00842307103387|00842307103387|Primary|GS1|||||
00842307103370|00842307103370|Primary|GS1|||||
00842307103363|00842307103363|Primary|GS1|||||
00842307103356|00842307103356|Primary|GS1|||||
00842307103349|00842307103349|Primary|GS1|||||
00842307103325|00842307103325|Primary|GS1|||||
00842307103318|00842307103318|Primary|GS1|||||
00842307103301|00842307103301|Primary|GS1|||||
00842307103295|00842307103295|Primary|GS1|||||
00842307103288|00842307103288|Primary|GS1|||||
00842307103271|00842307103271|Primary|GS1|||||
00842307103264|00842307103264|Primary|GS1|||||
00842307103257|00842307103257|Primary|GS1|||||
00842307103240|00842307103240|Primary|GS1|||||
00842307103233|00842307103233|Primary|GS1|||||
00842307103226|00842307103226|Primary|GS1|||||
00842307103219|00842307103219|Primary|GS1|||||
00842307103189|00842307103189|Primary|GS1|||||
00842307103172|00842307103172|Primary|GS1|||||
00842307103165|00842307103165|Primary|GS1|||||
00842307103158|00842307103158|Primary|GS1|||||
00842307103141|00842307103141|Primary|GS1|||||
00842307103134|00842307103134|Primary|GS1|||||
00842307103127|00842307103127|Primary|GS1|||||
00842307103110|00842307103110|Primary|GS1|||||
00842307103103|00842307103103|Primary|GS1|||||
00842307103097|00842307103097|Primary|GS1|||||
00842307103080|00842307103080|Primary|GS1|||||
00842307103073|00842307103073|Primary|GS1|||||
00842307103066|00842307103066|Primary|GS1|||||
00842307103059|00842307103059|Primary|GS1|||||
00842307103042|00842307103042|Primary|GS1|||||
00842307103028|00842307103028|Primary|GS1|||||
00842307103011|00842307103011|Primary|GS1|||||
00842307103004|00842307103004|Primary|GS1|||||
00842307102991|00842307102991|Primary|GS1|||||
00842307102984|00842307102984|Primary|GS1|||||
00842307102977|00842307102977|Primary|GS1|||||
00842307102960|00842307102960|Primary|GS1|||||
00842307102953|00842307102953|Primary|GS1|||||
00842307102946|00842307102946|Primary|GS1|||||
00842307102939|00842307102939|Primary|GS1|||||
00842307102922|00842307102922|Primary|GS1|||||
00842307102915|00842307102915|Primary|GS1|||||
00842307102908|00842307102908|Primary|GS1|||||
00842307102892|00842307102892|Primary|GS1|||||
00842307102885|00842307102885|Primary|GS1|||||
00842307102878|00842307102878|Primary|GS1|||||
00842307102861|00842307102861|Primary|GS1|||||
00842307102854|00842307102854|Primary|GS1|||||
00842307102847|00842307102847|Primary|GS1|||||
00842307102830|00842307102830|Primary|GS1|||||
00842307102823|00842307102823|Primary|GS1|||||
00842307102816|00842307102816|Primary|GS1|||||
00842307102793|00842307102793|Primary|GS1|||||
00842307102786|00842307102786|Primary|GS1|||||
00842307102779|00842307102779|Primary|GS1|||||
00842307102762|00842307102762|Primary|GS1|||||
00842307102755|00842307102755|Primary|GS1|||||
00842307102748|00842307102748|Primary|GS1|||||
00842307102731|00842307102731|Primary|GS1|||||
00842307102724|00842307102724|Primary|GS1|||||
00842307102717|00842307102717|Primary|GS1|||||
00842307102700|00842307102700|Primary|GS1|||||
00842307102694|00842307102694|Primary|GS1|||||
00842307102687|00842307102687|Primary|GS1|||||
00842307102670|00842307102670|Primary|GS1|||||
00842307102663|00842307102663|Primary|GS1|||||
00842307102656|00842307102656|Primary|GS1|||||
00842307102649|00842307102649|Primary|GS1|||||
00842307102632|00842307102632|Primary|GS1|||||
00842307102625|00842307102625|Primary|GS1|||||
00842307102618|00842307102618|Primary|GS1|||||
00842307102601|00842307102601|Primary|GS1|||||
00842307102595|00842307102595|Primary|GS1|||||
00842307102588|00842307102588|Primary|GS1|||||
00842307102571|00842307102571|Primary|GS1|||||
00842307102564|00842307102564|Primary|GS1|||||
00842307102557|00842307102557|Primary|GS1|||||
00842307102540|00842307102540|Primary|GS1|||||
00842307102533|00842307102533|Primary|GS1|||||
00842307102526|00842307102526|Primary|GS1|||||
00842307102519|00842307102519|Primary|GS1|||||
00842307102502|00842307102502|Primary|GS1|||||
00842307102496|00842307102496|Primary|GS1|||||
00842307102489|00842307102489|Primary|GS1|||||
00842307102472|00842307102472|Primary|GS1|||||
00842307102465|00842307102465|Primary|GS1|||||
00842307102458|00842307102458|Primary|GS1|||||
00842307102441|00842307102441|Primary|GS1|||||
00842307102434|00842307102434|Primary|GS1|||||
00842307102427|00842307102427|Primary|GS1|||||
00842307102410|00842307102410|Primary|GS1|||||
00842307102403|00842307102403|Primary|GS1|||||
00842307102397|00842307102397|Primary|GS1|||||
00842307102380|00842307102380|Primary|GS1|||||
00842307102373|00842307102373|Primary|GS1|||||
00842307102366|00842307102366|Primary|GS1|||||
00842307102359|00842307102359|Primary|GS1|||||
00842307102342|00842307102342|Primary|GS1|||||
00842307102335|00842307102335|Primary|GS1|||||
00842307102328|00842307102328|Primary|GS1|||||
00842307102311|00842307102311|Primary|GS1|||||
00842307102304|00842307102304|Primary|GS1|||||
00842307102298|00842307102298|Primary|GS1|||||
00842307102281|00842307102281|Primary|GS1|||||
00842307102274|00842307102274|Primary|GS1|||||
00842307102267|00842307102267|Primary|GS1|||||
00842307102250|00842307102250|Primary|GS1|||||
00842307102243|00842307102243|Primary|GS1|||||
00842307102236|00842307102236|Primary|GS1|||||
00842307102229|00842307102229|Primary|GS1|||||
00842307102212|00842307102212|Primary|GS1|||||
00842307102205|00842307102205|Primary|GS1|||||
00842307102199|00842307102199|Primary|GS1|||||
00842307102182|00842307102182|Primary|GS1|||||
00842307102175|00842307102175|Primary|GS1|||||
00842307102168|00842307102168|Primary|GS1|||||
00842307102151|00842307102151|Primary|GS1|||||
00842307102144|00842307102144|Primary|GS1|||||
00842307102137|00842307102137|Primary|GS1|||||
00842307102120|00842307102120|Primary|GS1|||||
00842307102113|00842307102113|Primary|GS1|||||
00842307102106|00842307102106|Primary|GS1|||||
00842307102090|00842307102090|Primary|GS1|||||
00842307102083|00842307102083|Primary|GS1|||||
00842307102076|00842307102076|Primary|GS1|||||
00842307102069|00842307102069|Primary|GS1|||||
00842307102052|00842307102052|Primary|GS1|||||
00842307102045|00842307102045|Primary|GS1|||||
00842307102038|00842307102038|Primary|GS1|||||
00842307102014|00842307102014|Primary|GS1|||||
00842307102007|00842307102007|Primary|GS1|||||
00842307101994|00842307101994|Primary|GS1|||||
00842307101970|00842307101970|Primary|GS1|||||
00842307101963|00842307101963|Primary|GS1|||||
00842307101956|00842307101956|Primary|GS1|||||
00842307101949|00842307101949|Primary|GS1|||||
00842307101925|00842307101925|Primary|GS1|||||
00842307101901|00842307101901|Primary|GS1|||||
00842307101895|00842307101895|Primary|GS1|||||
00842307101888|00842307101888|Primary|GS1|||||
00842307101871|00842307101871|Primary|GS1|||||
00842307101864|00842307101864|Primary|GS1|||||
