PrimaryDI|submissionNumber|supplementNumber
00842209105021|K042684|000
00842209101344|K042684|000
00842209100026|K152340|000
00842209100002|K123194|000
00842188124846|K211783|000
00842188124839|K211783|000
00842188124822|K211783|000
00842188124815|K211783|000
00842188124808|K211783|000
00842188124792|K211783|000
00842188124785|K211783|000
00842188124778|K211783|000
00842188124761|K211783|000
00842188124754|K211783|000
00842188124747|K211783|000
00842188124730|K211783|000
00842188124723|K211783|000
00842188124716|K211783|000
00842188124709|K211783|000
00842188124693|K211783|000
00842188124686|K211783|000
00842188124679|K211783|000
00842188124662|K211783|000
00842188124655|K211783|000
00842188124648|K211783|000
00842188124631|K211783|000
00842188124624|K211783|000
00842188124617|K211783|000
00842188124600|K211783|000
00842188124594|K211783|000
00842188124587|K211783|000
00842188124570|K211783|000
00842188124563|K211783|000
00842188124556|K211783|000
00842188124549|K211783|000
00842188124532|K211783|000
00842188124525|K211783|000
00842188124518|K211783|000
00842188124501|K211783|000
00842188124495|K211783|000
00842188124488|K211783|000
00842188124471|K211783|000
00842188124464|K211783|000
00842188124457|K211783|000
00842188124440|K211783|000
00842188124433|K211783|000
00842188124426|K211783|000
00842188124419|K211783|000
00842188124402|K211783|000
00842188124396|K211783|000
00842188124389|K211783|000
00842188124372|K211783|000
00842188124365|K211783|000
00842188124358|K211783|000
00842188124341|K211783|000
00842188124334|K211783|000
00842188124327|K211783|000
00842188124310|K211783|000
00842188124303|K211783|000
00842188124297|K211783|000
00842188124280|K211783|000
00842188124273|K211783|000
00842188124266|K211783|000
00842188124259|K211783|000
00842188124242|K211783|000
00842188124235|K211783|000
00842188124228|K211783|000
00842188124211|K211783|000
00842188124204|K211783|000
00842188124198|K211783|000
00842188124181|K211783|000
00842188124174|K211783|000
00842188124167|K211783|000
00842188124150|K211783|000
00842188124143|K211783|000
00842188124136|K211783|000
00842188124129|K211783|000
00842188124112|K211783|000
00842188124105|K211783|000
00842188124099|K211783|000
00842188124082|K211783|000
00842188124075|K211783|000
00842188124068|K211783|000
00842188124051|K211783|000
00842188124044|K211783|000
00842188124037|K211783|000
00842188124020|K211783|000
00842188124013|K211783|000
00842188124006|K211783|000
00842188123993|K211783|000
00842188123979|K211783|000
00842188123672|K060041|000
00842188123665|K060041|000
00842188123658|K060041|000
00842188123641|K060041|000
00842188123634|K060041|000
00842188123627|K060041|000
00842188123610|K060041|000
00842188123603|K060041|000
00842188123597|K060041|000
00842188123580|K060041|000
00842188123573|K060041|000
00842188123566|K060041|000
00842188123559|K060041|000
00842188123542|K060041|000
00842188123535|K060041|000
00842188123528|K060041|000
00842188123511|K060041|000
00842188123504|K060041|000
00842188123498|K060041|000
00842188123481|K060041|000
00842188123474|K060041|000
00842188123467|K060041|000
00842188123450|K060041|000
00842188123443|K060041|000
00842188123436|K060041|000
00842188123429|K060041|000
00842188123412|K060041|000
00842188123405|K060041|000
00842188123399|K060041|000
00842188123382|K060041|000
00842188123375|K060041|000
00842188123368|K060041|000
00842188123351|K060041|000
00842188123344|K060041|000
00842188123337|K060041|000
00842188123320|K060041|000
00842188123313|K060041|000
00842188123306|K060041|000
00842188123290|K060041|000
00842188123283|K060041|000
00842188123276|K060041|000
00842188123269|K060041|000
00842188123252|K060041|000
00842188123245|K060041|000
00842188123238|K060041|000
00842188123221|K060041|000
00842188123214|K060041|000
00842188123207|K060041|000
00842188123191|K060041|000
00842188123184|K060041|000
00842188123177|K060041|000
00842188123160|K060041|000
00842188123153|K060041|000
00842188123146|K060041|000
00842188123139|K060041|000
00842188123122|K060041|000
00842188123115|K060041|000
00842188123108|K060041|000
00842188123092|K951302|000
00842188123085|K951302|000
00842188123078|K951302|000
00842188123061|K951302|000
00842188123054|K951302|000
00842188123047|K951302|000
00842188123030|K951302|000
00842188123023|K951302|000
00842188123016|K951302|000
00842188123009|K951302|000
00842188122996|K093676|000
00842188122989|K093676|000
00842188122972|K093676|000
00842188122965|K093676|000
00842188122958|K050681|000
00842188122941|K050681|000
00842188122934|K050681|000
00842188122927|K050681|000
00842188122910|K050681|000
00842188122903|K050681|000
00842188122897|K050681|000
00842188122880|K050681|000
00842188122873|K050681|000
00842188122866|K050681|000
00842188122859|K050681|000
00842188122842|K050681|000
00842188122835|K050681|000
00842188122828|K050681|000
00842188122811|K050681|000
00842188122804|K050681|000
00842188122798|K050681|000
00842188122781|K050681|000
00842188122774|K050681|000
00842188122767|K050681|000
00842188122750|K050681|000
00842188122743|K050681|000
00842188122736|K050681|000
00842188122729|K050681|000
00842188122712|K050681|000
00842188122705|K050681|000
00842188122699|K050681|000
00842188122682|K050681|000
00842188122675|K050681|000
00842188122668|K050681|000
00842188122651|K050681|000
00842188122644|K050681|000
00842188122637|K050681|000
00842188122620|K050681|000
00842188122613|K050681|000
00842188122606|K050681|000
00842188122590|K050681|000
00842188122583|K050681|000
00842188122576|K050681|000
00842188122569|K050681|000
00842188122552|K050681|000
00842188122545|K050681|000
00842188122538|K050681|000
00842188122521|K050681|000
00842188122514|K050681|000
00842188122507|K050681|000
