PrimaryDI|sterilizationMethod
00842188124846|Moist Heat or Steam Sterilization
00842188124839|Moist Heat or Steam Sterilization
00842188124822|Moist Heat or Steam Sterilization
00842188124815|Moist Heat or Steam Sterilization
00842188124808|Moist Heat or Steam Sterilization
00842188124792|Moist Heat or Steam Sterilization
00842188124785|Moist Heat or Steam Sterilization
00842188124778|Moist Heat or Steam Sterilization
00842188124761|Moist Heat or Steam Sterilization
00842188124754|Moist Heat or Steam Sterilization
00842188124747|Moist Heat or Steam Sterilization
00842188124730|Moist Heat or Steam Sterilization
00842188124723|Moist Heat or Steam Sterilization
00842188124716|Moist Heat or Steam Sterilization
00842188124709|Moist Heat or Steam Sterilization
00842188124693|Moist Heat or Steam Sterilization
00842188124686|Moist Heat or Steam Sterilization
00842188124679|Moist Heat or Steam Sterilization
00842188124662|Moist Heat or Steam Sterilization
00842188124655|Moist Heat or Steam Sterilization
00842188124648|Moist Heat or Steam Sterilization
00842188124631|Moist Heat or Steam Sterilization
00842188124624|Moist Heat or Steam Sterilization
00842188124617|Moist Heat or Steam Sterilization
00842188124600|Moist Heat or Steam Sterilization
00842188124594|Moist Heat or Steam Sterilization
00842188124587|Moist Heat or Steam Sterilization
00842188124570|Moist Heat or Steam Sterilization
00842188124563|Moist Heat or Steam Sterilization
00842188124556|Moist Heat or Steam Sterilization
00842188124549|Moist Heat or Steam Sterilization
00842188124532|Moist Heat or Steam Sterilization
00842188124525|Moist Heat or Steam Sterilization
00842188124518|Moist Heat or Steam Sterilization
00842188124501|Moist Heat or Steam Sterilization
00842188124495|Moist Heat or Steam Sterilization
00842188124488|Moist Heat or Steam Sterilization
00842188124471|Moist Heat or Steam Sterilization
00842188124464|Moist Heat or Steam Sterilization
00842188124457|Moist Heat or Steam Sterilization
00842188124440|Moist Heat or Steam Sterilization
00842188124433|Moist Heat or Steam Sterilization
00842188124426|Moist Heat or Steam Sterilization
00842188124419|Moist Heat or Steam Sterilization
00842188124402|Moist Heat or Steam Sterilization
00842188124396|Moist Heat or Steam Sterilization
00842188124389|Moist Heat or Steam Sterilization
00842188124372|Moist Heat or Steam Sterilization
00842188124365|Moist Heat or Steam Sterilization
00842188124358|Moist Heat or Steam Sterilization
00842188124341|Moist Heat or Steam Sterilization
00842188124334|Moist Heat or Steam Sterilization
00842188124327|Moist Heat or Steam Sterilization
00842188124310|Moist Heat or Steam Sterilization
00842188124303|Moist Heat or Steam Sterilization
00842188124297|Moist Heat or Steam Sterilization
00842188124280|Moist Heat or Steam Sterilization
00842188124273|Moist Heat or Steam Sterilization
00842188124266|Moist Heat or Steam Sterilization
00842188124259|Moist Heat or Steam Sterilization
00842188124242|Moist Heat or Steam Sterilization
00842188124235|Moist Heat or Steam Sterilization
00842188124228|Moist Heat or Steam Sterilization
00842188124211|Moist Heat or Steam Sterilization
00842188124204|Moist Heat or Steam Sterilization
00842188124198|Moist Heat or Steam Sterilization
00842188124181|Moist Heat or Steam Sterilization
00842188124174|Moist Heat or Steam Sterilization
00842188124167|Moist Heat or Steam Sterilization
00842188124150|Moist Heat or Steam Sterilization
00842188124143|Moist Heat or Steam Sterilization
00842188124136|Moist Heat or Steam Sterilization
00842188124129|Moist Heat or Steam Sterilization
00842188124112|Moist Heat or Steam Sterilization
00842188124105|Moist Heat or Steam Sterilization
00842188124099|Moist Heat or Steam Sterilization
00842188124082|Moist Heat or Steam Sterilization
00842188124075|Moist Heat or Steam Sterilization
00842188124068|Moist Heat or Steam Sterilization
00842188124051|Moist Heat or Steam Sterilization
00842188124044|Moist Heat or Steam Sterilization
00842188124037|Moist Heat or Steam Sterilization
00842188124020|Moist Heat or Steam Sterilization
00842188124013|Moist Heat or Steam Sterilization
00842188124006|Moist Heat or Steam Sterilization
00842188123993|Moist Heat or Steam Sterilization
00842188123979|Moist Heat or Steam Sterilization
00842188123962|Moist Heat or Steam Sterilization
00842188123955|Moist Heat or Steam Sterilization
00842188123948|Moist Heat or Steam Sterilization
00842188123931|Moist Heat or Steam Sterilization
00842188123924|Moist Heat or Steam Sterilization
00842188123917|Moist Heat or Steam Sterilization
00842188123900|Moist Heat or Steam Sterilization
00842188123894|Moist Heat or Steam Sterilization
00842188123887|Moist Heat or Steam Sterilization
00842188123870|Moist Heat or Steam Sterilization
00842188123863|Moist Heat or Steam Sterilization
00842188123832|Moist Heat or Steam Sterilization
00842188123825|Moist Heat or Steam Sterilization
00842188123818|Moist Heat or Steam Sterilization
00842188123801|Moist Heat or Steam Sterilization
00842188123795|Moist Heat or Steam Sterilization
00842188123788|Moist Heat or Steam Sterilization
00842188123771|Moist Heat or Steam Sterilization
00842188123764|Moist Heat or Steam Sterilization
00842188123757|Moist Heat or Steam Sterilization
00842188123740|Moist Heat or Steam Sterilization
00842188123733|Moist Heat or Steam Sterilization
00842188123726|Moist Heat or Steam Sterilization
00842188123719|Moist Heat or Steam Sterilization
00842188123702|Moist Heat or Steam Sterilization
00842188123696|Moist Heat or Steam Sterilization
00842188123689|Moist Heat or Steam Sterilization
00842188123672|Moist Heat or Steam Sterilization
00842188123665|Moist Heat or Steam Sterilization
00842188123658|Moist Heat or Steam Sterilization
00842188123641|Moist Heat or Steam Sterilization
00842188123634|Moist Heat or Steam Sterilization
00842188123627|Moist Heat or Steam Sterilization
00842188123610|Moist Heat or Steam Sterilization
00842188123603|Moist Heat or Steam Sterilization
00842188123597|Moist Heat or Steam Sterilization
00842188123580|Moist Heat or Steam Sterilization
00842188123573|Moist Heat or Steam Sterilization
00842188123566|Moist Heat or Steam Sterilization
00842188123559|Moist Heat or Steam Sterilization
00842188123542|Moist Heat or Steam Sterilization
00842188123535|Moist Heat or Steam Sterilization
00842188123528|Moist Heat or Steam Sterilization
00842188123511|Moist Heat or Steam Sterilization
00842188123504|Moist Heat or Steam Sterilization
00842188123498|Moist Heat or Steam Sterilization
00842188123481|Moist Heat or Steam Sterilization
00842188123474|Moist Heat or Steam Sterilization
00842188123467|Moist Heat or Steam Sterilization
00842188123450|Moist Heat or Steam Sterilization
00842188123443|Moist Heat or Steam Sterilization
00842188123436|Moist Heat or Steam Sterilization
00842188123429|Moist Heat or Steam Sterilization
00842188123412|Moist Heat or Steam Sterilization
00842188123405|Moist Heat or Steam Sterilization
00842188123399|Moist Heat or Steam Sterilization
00842188123382|Moist Heat or Steam Sterilization
00842188123375|Moist Heat or Steam Sterilization
00842188123368|Moist Heat or Steam Sterilization
00842188123351|Moist Heat or Steam Sterilization
00842188123344|Moist Heat or Steam Sterilization
00842188123337|Moist Heat or Steam Sterilization
00842188123320|Moist Heat or Steam Sterilization
00842188123313|Moist Heat or Steam Sterilization
00842188123306|Moist Heat or Steam Sterilization
00842188123290|Moist Heat or Steam Sterilization
00842188123283|Moist Heat or Steam Sterilization
00842188123276|Moist Heat or Steam Sterilization
00842188123269|Moist Heat or Steam Sterilization
00842188123252|Moist Heat or Steam Sterilization
00842188123245|Moist Heat or Steam Sterilization
00842188123238|Moist Heat or Steam Sterilization
00842188123221|Moist Heat or Steam Sterilization
00842188123214|Moist Heat or Steam Sterilization
00842188123207|Moist Heat or Steam Sterilization
00842188123191|Moist Heat or Steam Sterilization
00842188123184|Moist Heat or Steam Sterilization
00842188123177|Moist Heat or Steam Sterilization
00842188123160|Moist Heat or Steam Sterilization
00842188123153|Moist Heat or Steam Sterilization
00842188123146|Moist Heat or Steam Sterilization
00842188123139|Moist Heat or Steam Sterilization
00842188123122|Moist Heat or Steam Sterilization
00842188123115|Moist Heat or Steam Sterilization
00842188123108|Moist Heat or Steam Sterilization
00842188123092|Moist Heat or Steam Sterilization
00842188123085|Moist Heat or Steam Sterilization
00842188123078|Moist Heat or Steam Sterilization
00842188123061|Moist Heat or Steam Sterilization
00842188123054|Moist Heat or Steam Sterilization
00842188123047|Moist Heat or Steam Sterilization
00842188123030|Moist Heat or Steam Sterilization
00842188123023|Moist Heat or Steam Sterilization
00842188123016|Moist Heat or Steam Sterilization
00842188123009|Moist Heat or Steam Sterilization
00842188122996|Moist Heat or Steam Sterilization
00842188122989|Moist Heat or Steam Sterilization
00842188122972|Moist Heat or Steam Sterilization
00842188122965|Moist Heat or Steam Sterilization
00842188122958|Moist Heat or Steam Sterilization
00842188122941|Moist Heat or Steam Sterilization
00842188122934|Moist Heat or Steam Sterilization
00842188122927|Moist Heat or Steam Sterilization
00842188122910|Moist Heat or Steam Sterilization
00842188122903|Moist Heat or Steam Sterilization
00842188122897|Moist Heat or Steam Sterilization
00842188122880|Moist Heat or Steam Sterilization
00842188122873|Moist Heat or Steam Sterilization
00842188122866|Moist Heat or Steam Sterilization
00842188122859|Moist Heat or Steam Sterilization
00842188122842|Moist Heat or Steam Sterilization
00842188122835|Moist Heat or Steam Sterilization
00842188122828|Moist Heat or Steam Sterilization
00842188122811|Moist Heat or Steam Sterilization
00842188122804|Moist Heat or Steam Sterilization
00842188122798|Moist Heat or Steam Sterilization
00842188122781|Moist Heat or Steam Sterilization
00842188122774|Moist Heat or Steam Sterilization
00842188122767|Moist Heat or Steam Sterilization
00842188122750|Moist Heat or Steam Sterilization
00842188122743|Moist Heat or Steam Sterilization
00842188122736|Moist Heat or Steam Sterilization
00842188122729|Moist Heat or Steam Sterilization
00842188122712|Moist Heat or Steam Sterilization
00842188122705|Moist Heat or Steam Sterilization
00842188122699|Moist Heat or Steam Sterilization
00842188122682|Moist Heat or Steam Sterilization
00842188122675|Moist Heat or Steam Sterilization
00842188122668|Moist Heat or Steam Sterilization
00842188122651|Moist Heat or Steam Sterilization
00842188122644|Moist Heat or Steam Sterilization
00842188122637|Moist Heat or Steam Sterilization
00842188122620|Moist Heat or Steam Sterilization
00842188122613|Moist Heat or Steam Sterilization
